"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-4.72,-2.64,-7.08,173,146,195,24,"4",NA,NA,47
"Derwin James","DB","LAC",84.7,2.55,0.444,83,86.5,-4.89,-1.23,-11.7,174,139,235,19,"3",NA,18.1,4
"Tyler Loop","K","BAL",142,4.38,1.93,133,145,-4.94,-4.87,-12.6,175,163,245,14,"2",166,2.31,65
"Logan Wilson","LB","CIN",84.3,10.3,0.431,76.8,90.8,-4.96,-10.5,-0.118,176,218,134,17,"3",NA,10.7,45
"Jeremy Chinn","DB","LVR",84.2,3.39,0.158,82.1,86.7,-5.33,-2.21,-11.5,177,143,233,20,"3",NA,5.88,7
"Will Anderson","DL","HOU",37.5,6.86,0.699,33.1,42.5,-5.38,-6.96,-3.34,178,182,158,25,"4",NA,9.96,37
"Bobby Okereke","LB","NYG",83.9,2.83,0.343,82,85.9,-5.39,-5.22,-5.03,179,169,179,18,"3",NA,12.5,52
"Grant Delpit","DB","CLE",84.1,1.63,0.765,83,85.3,-5.49,-1.24,-13,180,140,248,21,"4",NA,11.3,9
"Hunter Henry","TE","NE",112,16.6,1.35,80.3,129,-5.7,-27.7,-13.7,181,393,255,18,"6",149,2.38,63
"Quincy Williams","LB","NYJ",83.5,0.778,0.335,83,84.1,-5.73,-4.25,-6.88,182,160,193,19,"3",NA,9.17,12
"Rams","DST","LAR",88.6,8.17,0.0987,79,99.4,-5.8,-6.77,-7.15,183,180,197,5,"3",168,0.635,32
"Vikings","DST","MIN",88.5,2.47,0.996,85.7,92.7,-5.9,0,-13.9,184,130,258,6,"4",141,1.47,1
"Matthew Golden","WR","GB",160,23.5,0.497,121,196,-6.03,-17.5,-3.04,185,287,155,39,"6",95.9,10.1,76
"Bobby Wagner","LB","WAS",83.2,4.31,0.227,80,85.9,-6.07,-7.26,-5.03,186,188,178,20,"3",NA,18.5,28
"Carl Granderson","DL","NO",36.8,9.48,0.00836,29.8,42.9,-6.08,-10.2,-3.01,187,215,154,26,"4",NA,NA,85
"Gregory Rousseau","DL","BUF",36.8,6.43,0.229,32.1,40.9,-6.09,-8.01,-4.97,188,192,177,27,"4",NA,11.8,40
"Chamarri Conner","DB","KC",83.3,NA,0.523,NA,NA,-6.26,NA,NA,189,NA,NA,22,"4",NA,NA,99
